panel_order,panel_label,panel_col,panel_row,section,force_pair,group,n_subjects,mean_pct,sd_pct,sem_pct,median_pct,q1_pct,q3_pct,iqr_pct,whisker_lo_pct,whisker_hi_pct,min_pct,max_pct,statistical_test,contrast,p_value,significance,subject_id,accuracy_pct,mean_same_trial_pct,mean_diff_trial_pct,same_trial_accuracy_pct,diff_trial_accuracy_pct,n_trials
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P51,41.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P51,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P52,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P52,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P52,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P52,91.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P53,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P53,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P53,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P53,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P54,91.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P54,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P54,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P54,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P55,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P55,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P55,50.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P55,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P56,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P56,8.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P56,50.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P56,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P59,91.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P59,8.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P59,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P59,91.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,descriptive,10–26,,25.000000,83.333300,11.537000,2.307400,83.333300,75.000000,91.666700,16.666700,58.333300,100.000000,58.333300,100.000000,,,,,,,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,descriptive,15–26,,25.000000,25.666700,14.010600,2.802100,25.000000,16.666700,33.333300,16.666700,0.000000,50.000000,0.000000,58.333300,,,,,,,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,descriptive,26–60,,25.000000,75.333300,13.710000,2.742000,75.000000,66.666700,83.333300,16.666700,50.000000,100.000000,50.000000,100.000000,,,,,,,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,inferential,10–26 vs 15–26,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",15–26 − 10–26,0.000000,***,,,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,inferential,10–26 vs 26–60,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",26–60 − 10–26,0.019878,*,,,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,inferential,15–26 vs 26–60,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",26–60 − 15–26,0.000000,***,,,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P21,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P21,0.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P21,75.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P22,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P22,8.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P22,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P23,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P23,33.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P23,58.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P24,83.333300,,,,,
