Subject,band,pair_label,n_diff,n_same,hits,false_alarms,H,FA,d_prime,criterion
P79,Low,1–2,24,12,14,2,0.58,0.19230769230769232,1.0713172524307368,0.3337651470735176
P80,High,10–26,24,12,20,3,0.82,0.2692307692307692,1.5305061924387873,-0.15011199162342015
P80,High,15–26,24,12,8,2,0.34,0.19230769230769232,0.45696064384748125,0.6409434513651453
P80,High,26–60,24,12,21,3,0.86,0.2692307692307692,1.6954604454109292,-0.23258911810949118
P80,Low,0.4–1,24,12,17,5,0.7,0.4230769230769231,0.718428655131967,-0.16518618514205718
P80,Low,0.6–1,24,12,10,5,0.42,0.4230769230769231,-0.007865336717924554,0.1979608107828886
P80,Low,1–1.4,24,12,8,5,0.34,0.4230769230769231,-0.2184349870174784,0.3032456359326655
P80,Low,1–2,24,12,15,4,0.62,0.34615384615384615,0.7012060839138847,0.04512225385754495
P81,High,10–26,24,12,19,3,0.78,0.2692307692307692,1.3873343187846583,-0.07852605479635566
P81,High,15–26,24,12,10,2,0.42,0.19230769230769232,0.6675302941470351,0.5356586262153684
P81,High,26–60,24,12,20,3,0.82,0.2692307692307692,1.5305061924387873,-0.15011199162342015
P81,Low,0.4–1,24,12,24,2,0.98,0.19230769230769232,2.9231726839207086,-0.5921625686714682
P81,Low,0.6–1,24,12,9,1,0.38,0.11538461538461539,0.8928989142075271,0.7519302452031609
P81,Low,1–1.4,24,12,4,3,0.18,0.2692307692307692,-0.3002239832468405,0.7652530962193937
P81,Low,1–2,24,12,21,0,0.86,0.038461538461538464,2.849144379333662,0.34425284885187524
P82,High,10–26,24,12,14,0,0.58,0.038461538461538464,1.970718517660557,0.7834657796884278
P82,High,15–26,24,12,5,2,0.22,0.19230769230769232,0.09723055910020117,0.8208084937387854
P82,High,26–60,24,12,13,1,0.54,0.11538461538461539,1.2988134228183943,0.5489729908977273
P82,Low,0.4–1,24,24,22,8,0.9,0.34,1.694014694986005,-0.4345442180515978
P82,Low,0.6–1,24,24,8,7,0.34,0.3,0.11193738326663616,0.4684318210747228
P82,Low,1–1.4,24,24,11,7,0.46,0.3,0.42396679219657113,0.3124171166097553
P82,Low,1–2,24,24,19,6,0.78,0.26,1.4155386195816018,-0.06442390439788392
P83,High,10–26,24,12,19,4,0.78,0.34615384615384615,1.1679185100031722,-0.18823395918709876
P83,High,15–26,24,12,10,4,0.42,0.34615384615384615,0.1938318166726364,0.2988093874781691
P83,High,26–60,24,12,22,1,0.9,0.11538461538461539,2.4799312678515246,-0.041585931618837946
P83,Low,0.4–1,24,12,24,1,0.98,0.11538461538461539,3.2521286129387468,-0.427684604162449
P83,Low,0.6–1,24,12,11,2,0.46,0.19230769230769232,0.7689900527774163,0.48492874690017784
P83,Low,1–1.4,24,12,7,1,0.3,0.11538461538461539,0.6739791895988836,0.8613901075074827
P83,Low,1–2,24,12,24,7,0.98,0.5769230769230769,1.8597207682078962,-1.1238885265278744
P84,High,10–26,24,12,18,3,0.74,0.2692307692307692,1.2584865099888904,-0.014102150398471736
P84,High,15–26,24,12,12,0,0.5,0.038461538461538464,1.7688250385187063,0.8844125192593532
P84,High,26–60,24,12,21,2,0.86,0.19230769230769232,1.9497431141038417,-0.10544778376303493
P84,Low,0.4–1,24,12,14,1,0.58,0.11538461538461539,1.4002731814487752,0.49824311158253687
P84,Low,0.6–1,24,12,9,5,0.38,0.4230769230769231,-0.11145264567547106,0.24975446526166184
P84,Low,1–1.4,24,12,7,2,0.3,0.19230769230769232,0.3450232605808451,0.6969121429984635
P84,Low,1–2,24,12,10,4,0.42,0.34615384615384615,0.1938318166726364,0.2988093874781691
P85,High,10–26,24,12,11,2,0.46,0.19230769230769232,0.7689900527774163,0.48492874690017784
P85,High,15–26,24,12,4,4,0.18,0.34615384615384615,-0.5196397920283267,0.6555451918286507
P85,High,26–60,24,12,23,3,0.94,0.2692307692307692,2.169914699192827,-0.46981624500044
P85,Low,0.4–1,24,12,15,4,0.62,0.34615384615384615,0.7012060839138847,0.04512225385754495
P85,Low,0.6–1,24,12,9,3,0.38,0.2692307692307692,0.3096603164965761,0.46031094634768543
P85,Low,1–1.4,24,12,11,2,0.46,0.19230769230769232,0.7689900527774163,0.48492874690017784
P85,Low,1–2,24,12,17,1,0.7,0.11538461538461539,1.7227802150149651,0.3369895947994419
P86,High,10–26,24,12,13,2,0.54,0.19230769230769232,0.9698574938003559,0.384495026388708
P86,High,15–26,24,12,11,1,0.46,0.11538461538461539,1.0979459817954547,0.6494067114091971
P86,High,26–60,24,12,20,2,0.82,0.19230769230769232,1.7847888611316998,-0.0229706572769639
P86,Low,0.4–1,24,12,13,3,0.54,0.2692307692307692,0.7155748251074434,0.2573536920422518
P86,Low,0.6–1,24,12,11,7,0.46,0.5769230769230769,-0.29446186293539595,-0.04679721095622822
P86,Low,1–1.4,24,12,14,6,0.58,0.5,0.20189347914185074,-0.10094673957092537
P86,Low,1–2,24,12,19,5,0.78,0.4230769230769231,0.9662213566126111,-0.28908253588237925
P87,High,10–26,24,12,16,2,0.66,0.19230769230769232,1.2818869027302908,0.22848032192374054
P87,High,15–26,24,12,7,1,0.3,0.11538461538461539,0.6739791895988836,0.8613901075074827
P87,High,26–60,24,12,22,3,0.9,0.2692307692307692,1.896692670140574,-0.33320523047431344
P87,Low,0.4–1,24,12,9,0,0.38,0.038461538461538464,1.463344250419309,1.0371529133090518
P87,Low,0.6–1,24,12,8,4,0.34,0.34615384615384615,-0.016737833626917442,0.404094212627946
P87,Low,1–1.4,24,12,7,3,0.3,0.2692307692307692,0.0907405918879326,0.5697708086520072
P87,Low,1–2,24,12,15,3,0.62,0.2692307692307692,0.9206218926953709,0.15483015824828805
P88,High,10–26,24,12,12,1,0.5,0.11538461538461539,1.1983797023069245,0.5991898511534622
P88,High,15–26,24,12,11,2,0.46,0.19230769230769232,0.7689900527774163,0.48492874690017784
P88,High,26–60,24,12,18,2,0.74,0.19230769230769232,1.512769178681803,0.11303918394798451
P88,Low,0.4–1,24,12,13,3,0.54,0.2692307692307692,0.7155748251074434,0.2573536920422518
P88,Low,0.6–1,24,12,10,2,0.42,0.19230769230769232,0.6675302941470351,0.5356586262153684
P88,Low,1–1.4,24,12,15,6,0.62,0.5,0.3054807880993974,-0.1527403940496987
P88,Low,1–2,24,12,14,3,0.58,0.2692307692307692,0.8170345837378242,0.20662381272706137
P89,High,10–26,24,12,18,3,0.74,0.2692307692307692,1.2584865099888904,-0.014102150398471736
P89,High,15–26,24,12,11,6,0.46,0.5,-0.10043372051146975,0.05021686025573487
P89,High,26–60,24,12,18,4,0.74,0.34615384615384615,1.0390707012074043,-0.12381005478921484
P89,Low,0.4–1,24,12,19,3,0.78,0.2692307692307692,1.3873343187846583,-0.07852605479635566
P89,Low,0.6–1,24,12,14,5,0.58,0.4230769230769231,0.39592162156577704,-0.0039326683589622075
P89,Low,1–1.4,24,12,15,3,0.62,0.2692307692307692,0.9206218926953709,0.15483015824828805
P89,Low,1–2,24,12,19,4,0.78,0.34615384615384615,1.1679185100031722,-0.18823395918709876
P90,High,10–26,24,12,15,3,0.62,0.2692307692307692,0.9206218926953709,0.15483015824828805
P90,High,15–26,24,12,11,0,0.46,0.038461538461538464,1.6683913180072365,0.9346293795150881
P90,High,26–60,24,12,15,1,0.62,0.11538461538461539,1.5038604904063217,0.44644945710376355
P90,Low,0.4–1,24,12,11,4,0.46,0.34615384615384615,0.29529157530301753,0.24807950816297852
P90,Low,0.6–1,24,12,14,3,0.58,0.2692307692307692,0.8170345837378242,0.20662381272706137
P90,Low,1–1.4,24,12,9,2,0.38,0.19230769230769232,0.5639429851894886,0.5874522806941417
P90,Low,1–2,24,12,18,3,0.74,0.2692307692307692,1.2584865099888904,-0.014102150398471736
