Subject,band,pair_label,region_group,n_diff,n_same,hits,false_alarms,H,FA,d_prime,criterion
P80,Low,1–1.4,On-nail,8,4,4,2,0.5,0.5,0.0,-0.0
P80,Low,1–2,Off-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P80,Low,1–2,On-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P81,High,10–26,Off-nail,8,4,6,0,0.7222222222222222,0.1,1.8710073633943787,0.34604788384741103
P81,High,10–26,On-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P81,High,15–26,Off-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P81,High,15–26,On-nail,8,4,2,1,0.2777777777777778,0.3,-0.06505528514173742,0.5569281552789096
P81,High,26–60,Off-nail,8,4,8,0,0.9444444444444444,0.1,2.8747703835676504,-0.1558336262392248
P81,High,26–60,On-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P81,Low,0.4–1,Off-nail,8,4,8,1,0.9444444444444444,0.3,2.117619330731091,-0.5344091526575045
P81,Low,0.4–1,On-nail,8,4,8,1,0.9444444444444444,0.3,2.117619330731091,-0.5344091526575045
P81,Low,0.6–1,Off-nail,8,4,2,0,0.2777777777777778,0.1,0.6920957676948221,0.9355036816971893
P81,Low,0.6–1,On-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P81,Low,1–1.4,Off-nail,8,4,1,2,0.16666666666666666,0.5,-0.9674215661017012,0.4837107830508506
P81,Low,1–1.4,On-nail,8,4,1,1,0.16666666666666666,0.3,-0.44302105339366027,0.745911039404871
P81,Low,1–2,Off-nail,8,4,7,0,0.8333333333333334,0.1,2.2489731316463013,0.1570649997214496
P81,Low,1–2,On-nail,8,4,7,0,0.8333333333333334,0.1,2.2489731316463013,0.1570649997214496
P82,High,10–26,Off-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P82,High,10–26,On-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P82,High,15–26,Off-nail,8,4,0,0,0.05555555555555555,0.1,-0.3116672524784503,1.4373851917838256
P82,High,15–26,On-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P82,High,26–60,Off-nail,8,4,6,0,0.7222222222222222,0.1,1.8710073633943787,0.34604788384741103
P82,High,26–60,On-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P82,Low,0.4–1,Off-nail,8,8,7,2,0.8333333333333334,0.2777777777777778,1.5568773639514795,-0.18898288412596143
P82,Low,0.4–1,On-nail,8,8,7,3,0.8333333333333334,0.3888888888888889,1.2496377131642094,-0.3426027095195965
P82,Low,0.6–1,Off-nail,8,8,5,3,0.6111111111111112,0.3888888888888889,0.5644322941250164,-5.551115123125783e-17
P82,Low,0.6–1,On-nail,8,8,1,1,0.16666666666666666,0.16666666666666666,0.0,0.9674215661017012
P82,Low,1–1.4,Off-nail,8,8,5,2,0.6111111111111112,0.2777777777777778,0.8716719449122865,0.15361982539363503
P82,Low,1–1.4,On-nail,8,8,3,4,0.3888888888888889,0.5,-0.28221614706250814,0.14110807353125407
P82,Low,1–2,Off-nail,8,8,8,1,0.9444444444444444,0.16666666666666666,2.560640384124751,-0.3128986259606744
P82,Low,1–2,On-nail,8,8,4,2,0.5,0.2777777777777778,0.5894557978497783,0.29472789892488915
P83,High,10–26,Off-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P83,High,10–26,On-nail,8,4,8,3,0.9444444444444444,0.7,1.0688183053150093,-1.0588096653655454
P83,High,15–26,Off-nail,8,4,2,1,0.2777777777777778,0.3,-0.06505528514173742,0.5569281552789096
P83,High,15–26,On-nail,8,4,3,2,0.3888888888888889,0.5,-0.28221614706250814,0.14110807353125407
P83,High,26–60,Off-nail,8,4,7,0,0.8333333333333334,0.1,2.2489731316463013,0.1570649997214496
P83,High,26–60,On-nail,8,4,8,1,0.9444444444444444,0.3,2.117619330731091,-0.5344091526575045
P83,Low,0.4–1,Off-nail,8,4,8,1,0.9444444444444444,0.3,2.117619330731091,-0.5344091526575045
P83,Low,0.4–1,On-nail,8,4,8,0,0.9444444444444444,0.1,2.8747703835676504,-0.1558336262392248
P83,Low,0.6–1,Off-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P83,Low,0.6–1,On-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P83,Low,1–1.4,Off-nail,8,4,1,1,0.16666666666666666,0.3,-0.44302105339366027,0.745911039404871
P83,Low,1–1.4,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P83,Low,1–2,Off-nail,8,4,8,3,0.9444444444444444,0.7,1.0688183053150093,-1.0588096653655454
P83,Low,1–2,On-nail,8,4,8,3,0.9444444444444444,0.7,1.0688183053150093,-1.0588096653655454
P84,High,10–26,Off-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P84,High,10–26,On-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P84,High,15–26,Off-nail,8,4,6,0,0.7222222222222222,0.1,1.8710073633943787,0.34604788384741103
P84,High,15–26,On-nail,8,4,2,0,0.2777777777777778,0.1,0.6920957676948221,0.9355036816971893
P84,High,26–60,Off-nail,8,4,8,0,0.9444444444444444,0.1,2.8747703835676504,-0.1558336262392248
P84,High,26–60,On-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P84,Low,0.4–1,Off-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P84,Low,0.4–1,On-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P84,Low,0.6–1,Off-nail,8,4,3,3,0.3888888888888889,0.7,-0.8066166597705489,-0.12109218282276626
P84,Low,0.6–1,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P84,Low,1–1.4,Off-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P84,Low,1–1.4,On-nail,8,4,2,2,0.2777777777777778,0.5,-0.5894557978497783,0.29472789892488915
P84,Low,1–2,Off-nail,8,4,1,2,0.16666666666666666,0.5,-0.9674215661017012,0.4837107830508506
P84,Low,1–2,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
