figure,analysis_cohort,cohort_label,force_g,condition,condition_raw,n_trials,n_subjects,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd,row_type,comparison,test,reference,test_group,shown_on_figure,pooling_method,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note,source,source_raw,both_conditions_at_force,group,group_label,n_observations
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.400000,,,180.000000,15.000000,50.000000,62.500000,75.000000,25.000000,12.500000,100.000000,63.396825,22.421854,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",True,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.600000,,,0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",False,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.600000,,,540.000000,45.000000,60.000000,80.000000,100.000000,40.000000,0.000000,100.000000,75.781305,23.434550,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",False,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),1.000000,,,5.000000,5.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,100.000000,0.000000,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",True,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),1.000000,,,360.000000,30.000000,75.000000,87.500000,100.000000,25.000000,40.000000,100.000000,85.200397,18.299691,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",True,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),1.400000,,,5.000000,5.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,96.400000,8.049845,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",True,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),1.400000,,,360.000000,30.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,96.442791,8.943744,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",True,,,
Fig3_future_full_kao(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.020000,,,5.000000,5.000000,8.000000,20.000000,58.000000,50.000000,0.000000,58.000000,28.800000,27.589853,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",False,,,
Fig3_future_full_kao(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.020000,,,0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",False,,,
Fig3_future_full_kao(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.040000,,,5.000000,5.000000,75.000000,85.000000,95.000000,20.000000,45.000000,100.000000,80.000000,21.794495,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",False,,,
