========================================================================
Force Discrimination — GEE Pairwise Plot Data Export
========================================================================

N participants     : 25
Statistical method   : GEE (binomial, subject-clustered trials)
Significance alpha   : 0.05
Accuracy definition  : proportion correct (chose stronger force)

Low band  (reference = 1 g)  pairs: 0.4–1, 0.6–1, 1–1.4, 1–2
High band (reference = 26 g) pairs: 10–26, 15–26, 26–60

------------------------------------------------------------------------
1. Per-subject accuracy (values shown as box-plot dots)
------------------------------------------------------------------------
Subject      Band   Force pair (g)   Accuracy
P49          Low    0.4–1              0.7500
P50          Low    0.4–1              0.6667
P51          Low    0.4–1              0.6667
P52          Low    0.4–1              0.7500
P53          Low    0.4–1              0.6667
P54          Low    0.4–1              0.9167
P55          Low    0.4–1              0.5833
P56          Low    0.4–1              0.7500
P59          Low    0.4–1              0.9167
P21          Low    0.6–1              0.1667
P22          Low    0.6–1              0.0833
P23          Low    0.6–1              0.3333
P24          Low    0.6–1              0.1667
P25          Low    0.6–1              0.1667
P26          Low    0.6–1              0.3333
P27          Low    0.6–1              0.3333
P28          Low    0.6–1              0.2500
P30          Low    0.6–1              0.2500
P32          Low    0.6–1              0.0000
P42          Low    0.6–1              0.1667
P44          Low    0.6–1              0.5000
P45          Low    0.6–1              0.1667
P46          Low    0.6–1              0.2500
P47          Low    0.6–1              0.0833
P48          Low    0.6–1              0.1667
P49          Low    0.6–1              0.3333
P50          Low    0.6–1              0.2500
P51          Low    0.6–1              0.4167
P52          Low    0.6–1              0.2500
P53          Low    0.6–1              0.2500
P54          Low    0.6–1              0.1667
P55          Low    0.6–1              0.1667
P56          Low    0.6–1              0.0833
P59          Low    0.6–1              0.0833
P21          Low    1–1.4              0.2500
P22          Low    1–1.4              0.4167
P23          Low    1–1.4              0.1667
P24          Low    1–1.4              0.4167
P25          Low    1–1.4              0.1667
P26          Low    1–1.4              0.1667
P27          Low    1–1.4              0.3333
P28          Low    1–1.4              0.3333
P30          Low    1–1.4              0.2500
P32          Low    1–1.4              0.1667
P42          Low    1–1.4              0.3333
P44          Low    1–1.4              0.2500
P45          Low    1–1.4              0.4167
P46          Low    1–1.4              0.1667
P47          Low    1–1.4              0.0833
P48          Low    1–1.4              0.4167
P49          Low    1–1.4              0.1667
P50          Low    1–1.4              0.5000
P51          Low    1–1.4              0.4167
P52          Low    1–1.4              0.5833
P53          Low    1–1.4              0.5833
P54          Low    1–1.4              0.6667
P55          Low    1–1.4              0.5000
P56          Low    1–1.4              0.5000
P59          Low    1–1.4              0.3333
P21          Low    1–2                0.6667
P22          Low    1–2                0.7500
P23          Low    1–2                0.5000
P24          Low    1–2                0.3333
P25          Low    1–2                0.4167
P26          Low    1–2                0.5833
P27          Low    1–2                0.6667
P28          Low    1–2                0.6667
P30          Low    1–2                0.9167
P32          Low    1–2                0.5833
P42          Low    1–2                0.6667
P44          Low    1–2                0.8333
P45          Low    1–2                0.7500
P46          Low    1–2                0.5833
P47          Low    1–2                0.8333
P48          Low    1–2                0.8333
P49          Low    1–2                0.9167
P50          Low    1–2                0.8333
P51          Low    1–2                0.7500
P52          Low    1–2                0.9167
P53          Low    1–2                0.5833
P54          Low    1–2                0.8333
P55          Low    1–2                0.8333
P56          Low    1–2                0.6667
P59          Low    1–2                0.9167

------------------------------------------------------------------------
2. Group summary (box-plot aggregates; mean ± SEM across subjects)
------------------------------------------------------------------------
Band   Force pair (g)    N     Mean      SEM       SD   Median      Min      Max
Low    0.4–1            25   0.7233   0.0208   0.1041   0.6667   0.5000   0.9167
Low    0.6–1            25   0.2167   0.0231   0.1154   0.1667   0.0000   0.5000
Low    1–1.4            25   0.3433   0.0317   0.1583   0.3333   0.0833   0.6667
Low    1–2              25   0.7133   0.0319   0.1597   0.7500   0.3333   0.9167
High   10–26            25   0.8333   0.0231   0.1154   0.8333   0.5833   1.0000
High   15–26            25   0.2567   0.0280   0.1401   0.2500   0.0000   0.5833
High   26–60            25   0.7533   0.0274   0.1371   0.7500   0.5000   1.0000

------------------------------------------------------------------------
3. Pairwise contrasts (bracket statistics; significant if p < 0.05)
------------------------------------------------------------------------
Band   Pair A       Pair B            p-value   Sig.  Label
Low    0.4–1        0.6–1            0.000000    Yes    ***
Low    0.4–1        1–1.4            0.000000    Yes    ***
Low    0.4–1        1–2              0.758968     No       
Low    0.6–1        1–1.4            0.001465    Yes     **
Low    0.6–1        1–2              0.000000    Yes    ***
Low    1–1.4        1–2              0.000000    Yes    ***
High   10–26        15–26            0.000000    Yes    ***
High   10–26        26–60            0.019878    Yes      *
High   15–26        26–60            0.000000    Yes    ***

========================================================================
