Subject,band,region_group,n_signal,n_noise,hits,false_alarms,H,FA,d_prime,criterion
P26,Low,On-nail,8,8,3,4,0.3888888888888889,0.5,-0.28221614706250814,0.14110807353125407
P27,High,Off-nail,4,8,2,2,0.5,0.2777777777777778,0.5894557978497783,0.29472789892488915
P27,High,On-nail,4,8,1,3,0.3,0.3888888888888889,-0.24218436564553275,0.40330832988527454
P27,Low,Off-nail,8,8,3,3,0.3888888888888889,0.3888888888888889,0.0,0.28221614706250814
P27,Low,On-nail,8,8,4,5,0.5,0.6111111111111112,-0.28221614706250825,-0.14110807353125412
P28,High,Off-nail,4,8,2,2,0.5,0.2777777777777778,0.5894557978497783,0.29472789892488915
P28,High,On-nail,4,8,3,4,0.7,0.5,0.5244005127080407,-0.26220025635402033
P28,Low,Off-nail,8,8,3,1,0.3888888888888889,0.16666666666666666,0.685205419039193,0.6248188565821047
P28,Low,On-nail,8,8,4,4,0.5,0.5,0.0,-0.0
P30,High,Off-nail,4,8,4,5,0.9,0.6111111111111112,0.9993354184820922,-0.7818838563035543
P30,High,On-nail,4,8,3,2,0.7,0.2777777777777778,1.113856310557819,0.03252764257086882
P30,Low,Off-nail,8,8,5,5,0.6111111111111112,0.6111111111111112,0.0,-0.28221614706250825
P30,Low,On-nail,8,8,6,4,0.7222222222222222,0.5,0.5894557978497783,-0.29472789892488915
P32,High,Off-nail,4,8,3,3,0.7,0.3888888888888889,0.8066166597705489,-0.12109218282276626
P32,High,On-nail,4,8,3,4,0.7,0.5,0.5244005127080407,-0.26220025635402033
P32,Low,Off-nail,8,8,3,5,0.3888888888888889,0.6111111111111112,-0.5644322941250164,-5.551115123125783e-17
P32,Low,On-nail,8,8,3,5,0.3888888888888889,0.6111111111111112,-0.5644322941250164,-5.551115123125783e-17
P42,High,Off-nail,4,8,3,4,0.7,0.5,0.5244005127080407,-0.26220025635402033
P42,High,On-nail,4,8,2,5,0.5,0.6111111111111112,-0.28221614706250825,-0.14110807353125412
P42,Low,Off-nail,8,8,3,3,0.3888888888888889,0.3888888888888889,0.0,0.28221614706250814
P42,Low,On-nail,8,8,5,5,0.6111111111111112,0.6111111111111112,0.0,-0.28221614706250825
P44,High,Off-nail,4,8,4,3,0.9,0.3888888888888889,1.5637677126071086,-0.4996677092410461
P44,High,On-nail,4,8,4,3,0.9,0.3888888888888889,1.5637677126071086,-0.4996677092410461
P44,Low,Off-nail,8,8,3,3,0.3888888888888889,0.3888888888888889,0.0,0.28221614706250814
P44,Low,On-nail,8,8,6,3,0.7222222222222222,0.3888888888888889,0.8716719449122865,-0.15361982539363508
P45,High,Off-nail,4,8,4,3,0.9,0.3888888888888889,1.5637677126071086,-0.4996677092410461
P45,High,On-nail,4,8,2,2,0.5,0.2777777777777778,0.5894557978497783,0.29472789892488915
P45,Low,Off-nail,8,8,5,4,0.6111111111111112,0.5,0.28221614706250825,-0.14110807353125412
P45,Low,On-nail,8,8,5,5,0.6111111111111112,0.6111111111111112,0.0,-0.28221614706250825
P46,High,Off-nail,4,8,4,6,0.9,0.7222222222222222,0.6920957676948221,-0.9355036816971893
P46,High,On-nail,4,8,2,2,0.5,0.2777777777777778,0.5894557978497783,0.29472789892488915
P46,Low,Off-nail,8,8,3,3,0.3888888888888889,0.3888888888888889,0.0,0.28221614706250814
P46,Low,On-nail,8,8,4,4,0.5,0.5,0.0,-0.0
P47,High,Off-nail,4,8,3,3,0.7,0.3888888888888889,0.8066166597705489,-0.12109218282276626
P47,High,On-nail,4,8,2,3,0.5,0.3888888888888889,0.28221614706250814,0.14110807353125407
P47,Low,Off-nail,8,8,3,5,0.3888888888888889,0.6111111111111112,-0.5644322941250164,-5.551115123125783e-17
P47,Low,On-nail,8,8,5,6,0.6111111111111112,0.7222222222222222,-0.30723965078727006,-0.43583597245614325
